ilkid,firstname,lastname,year,team,team-name,leag,gp,minutes,pts,oreb,dreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm,position,salary
AfflaAr01,Arron,Afflalo,2009,DEN,Denver Nuggets,N,82,2230,724,59,193,252,138,46,30,74,225,585,272,98,72,249,108,Guard,1086240
AjincAl01,Alexis,Ajinca,2009,CHR,Charlotte Bobcats,N,6,30,10,1,3,4,0,1,1,2,5,10,5,1,0,0,0,Center,1372080
AldriLa01,LaMarcus,Aldridge,2009,POR,Portland Trail Blazers,N,78,2922,1393,192,435,627,160,67,48,104,231,1169,579,304,230,16,5,Forward,5844824
AlexaJo01,Joe,Alexander,2009,CHI,Chicago Bulls,N,8,29,4,2,3,5,2,1,1,0,9,6,1,3,2,1,0,Forward,2583360
AllenMa01,Malik,Allen,2009,DEN,Denver Nuggets,N,51,456,105,36,46,82,16,11,5,22,68,116,46,13,12,6,1,Forward,1300000
AllenRa02,Ray,Allen,2009,BOS,Boston Celtics,N,80,2819,1304,45,208,253,210,64,25,129,182,973,464,253,231,399,145,Guard,18776848
AllenTo01,Tony,Allen,2009,BOS,Boston Celtics,N,54,889,330,52,93,145,72,59,19,66,109,253,129,119,72,5,0,Guard,2500000
AlstoRa01,Rafer,Alston,2009,NJN,New Jersey Nets,N,27,766,262,9,66,75,104,27,5,61,50,277,95,54,44,87,28,Guard,4300000
AmundLo01,Louis,Amundson,2009,PHO,Phoenix Suns,N,79,1168,371,128,218,346,31,24,73,57,169,276,152,123,67,1,0,Forward,855189
AnderAn02,Antonio,Anderson,2009,OKC,Oklahoma City Thunder,N,1,15,2,1,0,1,0,0,0,1,1,3,1,0,0,0,0,Guard,53834
AnderCh01,Chris,Andersen,2009,DEN,Denver Nuggets,N,76,1692,448,147,336,483,33,42,143,59,171,251,142,236,164,3,0,Forward,3650000
AnderDa03,David,Andersen,2009,HOU,Houston Rockets,N,63,891,367,54,154,208,44,15,12,37,119,340,147,67,46,78,27,Center,2314814
AnderRy01,Ryan,Anderson,2009,ORL,Orlando Magic,N,63,910,487,70,132,202,37,25,14,56,81,388,169,82,71,211,78,Forward,1317120
AnthoCa01,Carmelo,Anthony,2009,DEN,Denver Nuggets,N,69,2634,1943,152,302,454,222,88,30,209,225,1502,688,612,508,187,59,Forward,15779912
AnthoJo01,Joel,Anthony,2009,MIA,Miami Heat,N,80,1322,218,123,126,249,12,20,109,45,158,159,76,92,66,0,0,Center,825497
ArenaGi01,Gilbert,Arenas,2009,WAS,Washington Wizards,N,32,1169,722,17,116,133,230,41,9,117,95,616,253,207,153,181,63,Guard,16192072
ArizaTr01,Trevor,Ariza,2009,HOU,Houston Rockets,N,72,2629,1072,78,325,403,276,126,40,161,162,999,394,228,148,407,136,Forward,5854000
ArmstHi01,Hilton,Armstrong,2009,HOU,Houston Rockets,N,9,40,10,5,1,6,3,5,0,5,10,17,5,2,0,1,0,Center,2801198
ArroyCa01,Carlos,Arroyo,2009,MIA,Miami Heat,N,72,1585,439,26,104,130,225,36,6,54,102,375,178,90,76,25,7,Guard,1107572
ArthuDa01,Darrell,Arthur,2009,MEM,Memphis Grizzlies,N,32,457,143,37,73,110,15,14,14,22,60,146,63,30,17,1,0,Forward,1050480
AugusDJ01,D.J.,Augustin,2009,CHR,Charlotte Bobcats,N,80,1472,508,11,86,97,193,45,5,74,127,435,168,131,102,178,70,Guard,2374680
AzubuKe01,Kelenna,Azubuike,2009,GSW,Golden State Warriors,N,9,231,125,12,29,41,10,5,9,7,16,88,48,28,19,27,10,Forward,3100000
BalkmRe01,Renaldo,Balkman,2009,DEN,Denver Nuggets,N,13,91,14,4,19,23,7,8,2,6,16,18,6,6,2,7,0,Forward,2112416
BanksMa01,Marcus,Banks,2009,TOR,Toronto Raptors,N,22,244,109,3,20,23,26,12,2,20,30,73,39,29,24,24,7,Guard,4553792
BarboLe01,Leandro,Barbosa,2009,PHO,Phoenix Suns,N,44,786,418,11,58,69,64,23,12,46,71,365,155,73,64,136,44,Guard,6600000
BargnAn01,Andrea,Bargnani,2009,TOR,Toronto Raptors,N,80,2799,1376,105,388,493,93,25,111,120,215,1143,537,234,181,325,121,Center,6527488
BarneMa02,Matt,Barnes,2009,ORL,Orlando Magic,N,81,2097,716,106,339,445,134,59,30,112,185,557,271,146,108,207,66,Forward,1600000
BarroEa01,Earl,Barron,2009,NYK,New York Knicks,N,7,232,82,31,46,77,8,4,4,11,24,68,30,29,22,0,0,Forward,65397
BassBr01,Brandon,Bass,2009,ORL,Orlando Magic,N,50,648,290,54,73,127,19,12,27,31,69,233,119,63,52,0,0,Forward,4000000
BattiSh01,Shane,Battier,2009,HOU,Houston Rockets,N,67,2168,534,74,238,312,164,53,76,64,139,447,178,106,77,279,101,Forward,6864200
BattiTo01,Tony,Battie,2009,NJN,New Jersey Nets,N,15,134,36,4,19,23,3,4,2,3,19,40,14,10,7,4,1,Center,6292000
BatumNi01,Nicolas,Batum,2009,POR,Portland Trail Blazers,N,37,918,375,32,109,141,44,24,25,27,83,268,139,51,43,132,54,Forward,1118760
BayleJe01,Jerryd,Bayless,2009,POR,Portland Trail Blazers,N,74,1304,630,18,102,120,172,26,5,94,152,483,200,242,201,92,29,Guard,2143080
